event_date,metric_name,metric_value,source_system,freshness_hours,row_count,null_count,duplicate_count,status
2026-07-01,revenue,3731,Warehouse,1,2488,4,2,ALERT
2026-07-01,daily_orders,522,App,2,3105,19,5,ALERT
2026-07-01,active_users,1094,Erp,8,2818,12,6,ALERT
2026-07-01,refunds,127,App,24,4352,1,3,ALERT
2026-07-01,refunds,928,Erp,8,1396,6,10,ALERT
2026-07-01,refunds,2526,Warehouse,4,1076,16,5,ALERT
2026-07-02,revenue,4620,App,24,3118,4,8,ALERT
2026-07-02,revenue,4143,Warehouse,2,1012,13,7,ALERT
2026-07-02,active_users,354,Erp,1,2564,12,5,ALERT
2026-07-02,active_users,4448,Erp,8,1280,17,9,ALERT
2026-07-02,revenue,2940,App,1,4959,9,2,ALERT
2026-07-02,active_users,4449,Erp,1,1508,13,9,ALERT
2026-07-02,revenue,722,Warehouse,2,4744,13,1,ALERT
2026-07-03,refunds,3820,App,2,4211,16,5,ALERT
2026-07-03,revenue,2585,Warehouse,2,2704,14,10,ALERT
2026-07-03,active_users,4648,App,1,4151,17,6,ALERT
2026-07-03,revenue,4779,Erp,8,4199,8,8,ALERT
2026-07-03,refunds,3968,Erp,24,4609,17,4,ALERT
2026-07-03,daily_orders,4248,Warehouse,2,2687,18,0,ALERT
2026-07-03,daily_orders,4232,Warehouse,1,1672,5,1,ALERT
2026-07-04,daily_orders,859,App,1,2434,3,2,ALERT
2026-07-04,revenue,4832,Erp,24,3624,15,5,ALERT
2026-07-04,revenue,2554,Erp,1,3599,10,6,ALERT
2026-07-04,revenue,3647,Erp,8,4742,0,2,ALERT
2026-07-04,active_users,147,Warehouse,24,1315,9,10,ALERT
2026-07-04,daily_orders,2857,Erp,4,1657,1,0,ALERT
2026-07-04,daily_orders,3860,App,8,3739,14,6,ALERT
2026-07-05,active_users,1808,Erp,24,3621,0,9,ALERT
2026-07-05,revenue,1728,Warehouse,1,3643,19,3,ALERT
2026-07-05,refunds,4622,Warehouse,2,2915,10,1,ALERT
2026-07-05,revenue,3495,App,4,2898,10,8,ALERT
2026-07-05,active_users,1615,Warehouse,2,1875,2,10,ALERT
2026-07-05,active_users,1468,App,1,2356,14,1,ALERT
2026-07-05,refunds,3582,Warehouse,1,4968,10,4,ALERT
2026-07-06,refunds,995,Erp,24,1566,1,3,ALERT
2026-07-06,refunds,3579,Erp,4,2424,11,0,ALERT
2026-07-06,revenue,588,Erp,1,2194,9,7,ALERT
2026-07-06,revenue,366,App,1,4917,11,10,ALERT
2026-07-06,daily_orders,2444,App,4,3570,15,7,ALERT
2026-07-06,revenue,1351,Erp,2,4618,16,1,ALERT
2026-07-06,active_users,1517,App,4,1417,0,4,ALERT
2026-07-07,daily_orders,3128,Erp,24,2542,4,1,ALERT
2026-07-07,revenue,3240,Warehouse,24,4094,9,7,ALERT
2026-07-07,refunds,2937,Warehouse,2,1295,4,6,ALERT
2026-07-07,active_users,2559,Erp,2,2411,5,9,ALERT
2026-07-07,active_users,1690,Warehouse,8,2852,20,9,ALERT
2026-07-07,active_users,850,App,2,2339,17,9,ALERT
2026-07-07,active_users,3511,App,1,3773,7,2,ALERT
2026-07-08,daily_orders,2210,Erp,8,2061,12,8,ALERT
2026-07-08,daily_orders,2419,Erp,8,1653,16,9,ALERT
2026-07-08,refunds,639,Warehouse,1,1735,11,8,ALERT
2026-07-08,refunds,3827,Erp,1,2263,11,4,ALERT
2026-07-08,revenue,2748,Warehouse,1,4864,2,0,ALERT
2026-07-08,daily_orders,4644,App,2,4991,7,1,ALERT
2026-07-08,refunds,1889,App,2,2111,12,7,ALERT
2026-07-09,daily_orders,3896,Warehouse,4,4820,13,2,ALERT
2026-07-09,revenue,724,Warehouse,24,1192,3,4,ALERT
2026-07-09,daily_orders,1683,Warehouse,24,1458,6,8,ALERT
2026-07-09,daily_orders,3299,Warehouse,2,4519,7,8,ALERT
2026-07-09,revenue,697,Erp,4,3290,6,3,ALERT
2026-07-09,revenue,4131,Erp,8,4885,14,3,ALERT
2026-07-09,revenue,3159,App,2,2814,7,10,ALERT
2026-07-10,daily_orders,3534,Warehouse,1,4061,5,8,ALERT
2026-07-10,refunds,275,Warehouse,2,4377,9,10,ALERT
2026-07-10,daily_orders,3632,Erp,1,2266,18,7,ALERT
2026-07-10,daily_orders,2380,App,4,4173,5,10,ALERT
2026-07-10,active_users,2137,Warehouse,1,3644,6,8,ALERT
2026-07-10,active_users,748,Warehouse,2,2769,15,0,ALERT
2026-07-10,refunds,4924,Erp,4,4883,3,8,ALERT
2026-07-11,refunds,1593,App,24,2826,6,8,ALERT
2026-07-11,daily_orders,1817,Warehouse,24,1007,14,7,ALERT
2026-07-11,active_users,2660,Warehouse,8,1912,16,4,ALERT
2026-07-11,active_users,2670,App,24,4582,15,2,ALERT
2026-07-11,active_users,1873,App,4,3512,10,9,ALERT
2026-07-11,active_users,3280,App,1,3800,17,10,ALERT
2026-07-11,active_users,3995,Warehouse,8,2838,13,8,ALERT
2026-07-12,active_users,1921,App,24,2880,12,4,ALERT
2026-07-12,daily_orders,4433,Warehouse,2,1835,15,2,ALERT
2026-07-12,daily_orders,1426,Warehouse,24,3972,14,4,ALERT
2026-07-12,revenue,3813,App,2,3188,2,1,ALERT
2026-07-12,refunds,2399,Erp,4,1293,3,6,ALERT
2026-07-12,refunds,1650,Warehouse,4,2832,0,3,ALERT
